game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
176,2025-09-20 19:00:00,대전,대구,대전 월드컵 경기장,21045,흐림,22.9,78,"JTBC G&S, COUPANGPLAY"
177,2025-09-21 16:30:00,울산,안양,울산 문수 축구경기장,13201,맑음,22.5,65,"JTBC G&S, COUPANGPLAY"
178,2025-09-21 16:30:00,수원FC,강원,수원 종합 운동장,4005,맑음,265.0,50,"IB SPORTS, COUPANGPLAY"
179,2025-09-21 19:00:00,서울,광주,서울 월드컵 경기장,15221,맑음,22.8,67,"skySports, COUPANGPLAY"
180,2025-09-21 19:00:00,포항,제주,포항 스틸야드,9014,맑음,21.0,69,"IB SPORTS, COUPANGPLAY"
181,2025-09-27 14:00:00,강원,대전,강릉하이원아레나,7112,맑음,24.9,67,"skySports, COUPANGPLAY"
182,2025-09-27 16:30:00,김천,포항,김천 종합 운동장,3634,맑음,27.0,52,"IB SPORTS, COUPANGPLAY"
183,2025-09-27 16:30:00,대구,울산,대구iM뱅크PARK,10601,맑음,28.1,49,"skySports, COUPANGPLAY"
184,2025-09-27 19:00:00,서울,전북,서울 월드컵 경기장,31348,흐림,24.0,75,"skySports, COUPANGPLAY"
185,2025-09-28 16:30:00,제주,수원FC,제주 월드컵 경기장,5142,맑음,27.0,77,"skySports, COUPANGPLAY"
186,2025-09-28 16:30:00,안양,광주,안양 종합 운동장,7435,흐림,20.7,78,"IB SPORTS, COUPANGPLAY"
187,2025-10-03 14:00:00,제주,전북,제주 월드컵 경기장,6102,비,24.0,97,"ENA SPORTS, COUPANGPLAY"
188,2025-10-04 14:00:00,광주,대구,광주 월드컵 경기장,6731,흐림,25.0,80,"ENA SPORTS, COUPANGPLAY"
189,2025-10-05 14:00:00,김천,울산,김천 종합 운동장,4239,흐림,24.6,74,"IB SPORTS, KFN, COUPANGPLAY"
190,2025-10-05 14:00:00,포항,대전,포항 스틸야드,11821,맑음,24.0,75,"ENA SPORTS, COUPANGPLAY"
191,2025-10-05 16:30:00,강원,안양,강릉하이원아레나,8464,흐림,24.5,71,"IB SPORTS, COUPANGPLAY"
192,2025-10-05 16:30:00,수원FC,서울,수원 종합 운동장,7304,비,22.3,88,"ENA SPORTS, COUPANGPLAY"
193,2025-10-18 14:00:00,울산,광주,울산 문수 축구경기장,10294,흐리고 비,19.1,93,"IB SPORTS, COUPANGPLAY"
194,2025-10-18 14:00:00,서울,포항,서울 월드컵 경기장,23672,흐림,14.4,97,"ENA SPORTS, COUPANGPLAY"
195,2025-10-18 14:00:00,대전,제주,대전 월드컵 경기장,10425,흐림,16.0,93,"생활체육TV, COUPANGPLAY"
196,2025-10-18 14:00:00,전북,수원FC,전주 월드컵 경기장,21899,흐림,17.0,91,"JTBC G&S, COUPANGPLAY"
197,2025-10-18 14:00:00,대구,강원,대구iM뱅크PARK,10795,흐림,19.3,89,"MAXPORTS, COUPANGPLAY"
198,2025-10-18 14:00:00,안양,김천,안양 종합 운동장,7178,흐림,15.6,81,"GOLF&PBA, KFN, COUPANGPLAY"
199,2025-10-25 14:00:00,전북,김천,전주 월드컵 경기장,8498,맑음,18.0,70,"SBS, ENA SPORTS, KFN, COUPANGPLAY"
200,2025-10-25 14:00:00,광주,안양,광주 월드컵 경기장,2228,맑음,20.0,65,"MAXPORTS, COUPANGPLAY"
201,2025-10-25 16:30:00,수원FC,제주,수원 종합 운동장,2510,흐림,18.0,51,"ENA SPORTS, COUPANGPLAY"
202,2025-10-26 14:00:00,울산,대구,울산 문수 축구경기장,10858,흐림,17.0,10,"MAXPORTS, COUPANGPLAY"
203,2025-10-26 14:00:00,서울,강원,서울 월드컵 경기장,12177,흐림,10.3,91,"ENA SPORTS, COUPANGPLAY"
204,2025-10-26 16:30:00,대전,포항,대전 월드컵 경기장,8275,흐림,15.7,62,"ENA SPORTS, COUPANGPLAY"
205,2025-11-01 14:00:00,강원,전북,강릉하이원아레나,6424,맑음,17.8,33,"GOLF&PBA, COUPANGPLAY"
206,2025-11-01 14:00:00,대전,서울,대전 월드컵 경기장,9353,맑음,17.0,44,"ENA SPORTS, COUPANGPLAY"
207,2025-11-01 16:30:00,김천,포항,김천 종합 운동장,2147,맑음,16.3,42,"IB SPORTS, KFN, COUPANGPLAY"
208,2025-11-01 16:30:00,안양,울산,안양 종합 운동장,8206,흐림,15.5,39,"ENA SPORTS, COUPANGPLAY"
209,2025-11-02 14:00:00,광주,제주,광주 월드컵 경기장,2485,맑음,14.0,45,"ENA SPORTS, COUPANGPLAY"
210,2025-11-02 16:30:00,수원FC,대구,수원 종합 운동장,3865,맑음,10.0,41,"ENA SPORTS, COUPANGPLAY"
211,2025-11-08 14:00:00,제주,안양,제주 월드컵 경기장,4161,비,18.4,71,"MAXPORTS, COUPANGPLAY"
212,2025-11-08 14:00:00,대구,광주,대구iM뱅크PARK,9372,흐림,17.0,68,"ENA SPORTS, COUPANGPLAY"
213,2025-11-08 16:30:00,김천,강원,김천 종합 운동장,1405,흐림,15.5,63,"IB SPORTS, KFN, COUPANGPLAY"
